,ID,Name,Team,Age,Overall Rating,Best Overall,Position,Market value,Wage,Attacking stats,Movement stats,Power stats,Defence stats,Goal-Keeper stats,Skill sets,Total potential
0,158023,L. Messi,FC Barcelona,23,90,90,LW,€0,€0,423,458,368,54,54,438,94
1,20801,Cristiano Ronaldo,Real Madrid,25,89,90,CF,€0,€0,429,453,439,76,58,435,93
2,113422,David Villa,FC Barcelona,28,88,88,ST,€0,€0,422,433,402,88,46,400,91
3,5479,Casillas,Real Madrid,29,88,88,GK,€0,€0,67,327,224,31,428,82,92
4,140601,N. Vidić,Manchester United,28,87,87,CB,€0,€0,287,350,348,269,45,268,90
5,54050,W. Rooney,Manchester United,24,87,87,ST,€0,€0,429,426,430,148,49,416,91
6,10535,Xavi,FC Barcelona,30,87,89,RM,€0,€0,388,405,359,194,46,444,90
7,9014,A. Robben,FC Bayern München,26,87,88,LW,€0,€0,393,441,366,68,49,426,89
8,41,Iniesta,FC Barcelona,26,87,89,RM,€0,€0,383,433,336,170,45,421,90
9,167495,M. Neuer,FC Schalke 04,24,86,86,GK,€0,€0,90,316,253,45,430,100,90
10,162895,F. Fabregas,Arsenal,23,86,87,CAM,€0,€0,404,386,384,203,54,431,90
11,156616,F. Ribéry,FC Bayern München,27,86,87,RM,€0,€0,392,435,348,64,47,430,91
12,143001,C. Tévez,Manchester City,26,86,86,ST,€0,€0,408,432,418,121,53,392,89
13,139869,W. Sneijder,Inter,26,86,86,RM,€0,€0,392,405,382,122,50,444,88
14,48717,Júlio César,Inter,30,86,86,GK,€0,€0,106,312,257,45,425,119,88
15,41236,Z. Ibrahimović,Milan,28,86,86,ST,€0,€0,417,413,429,86,59,407,90
16,31432,D. Drogba,Chelsea,32,86,86,ST,€0,€0,421,408,425,83,49,388,90
17,13743,S. Gerrard,Liverpool,30,86,86,CAM,€0,€0,413,388,421,215,56,424,89
18,13038,Puyol,FC Barcelona,32,86,86,CB,€0,€0,300,358,345,271,54,285,90
19,9676,S. Eto'o,Inter,29,86,86,ST,€0,€0,414,431,398,94,53,388,90
20,5471,F. Lampard,Chelsea,32,86,86,CAM,€0,€0,420,393,420,180,59,431,88
21,168542,David Silva,Manchester City,24,85,85,LM,€0,€0,392,422,353,82,57,412,89
22,167664,G. Higuaín,Real Madrid,22,85,85,ST,€0,€0,395,406,389,42,44,361,87
23,165239,S. Nasri,Arsenal,23,85,85,RM,€0,€0,390,418,353,124,50,432,90
24,153079,S. Agüero,Atlético Madrid,22,85,85,ST,€0,€0,401,428,357,45,59,397,90
25,152729,Piqué,FC Barcelona,23,85,85,CB,€0,€0,330,365,336,271,58,310,88
26,138956,G. Chiellini,Juventus,25,85,85,CB,€0,€0,303,391,405,271,52,246,90
27,138449,Kaká,Real Madrid,28,85,85,CAM,€0,€0,396,418,368,63,55,417,91
28,135455,Maicon,Inter,28,85,86,RW,€0,€0,404,423,426,252,46,404,88
29,121944,B. Schweinsteiger,FC Bayern München,25,85,85,CAM,€0,€0,406,379,403,225,65,419,87
30,121939,P. Lahm,FC Bayern München,26,85,86,RWB,€0,€0,352,410,338,268,47,383,88
31,107715,Lúcio,Inter,32,85,85,CB,€0,€0,327,379,399,264,44,333,86
32,106573,Valdés,FC Barcelona,28,85,85,GK,€0,€0,80,327,235,30,425,110,86
33,49369,Fernando Torres,Chelsea,26,85,85,ST,€0,€0,417,426,398,68,54,367,91
34,49072,D. Forlán,Atlético Madrid,31,85,85,ST,€0,€0,406,408,415,58,42,392,88
35,45674,M. Essien,Chelsea,27,85,86,CDM,€0,€0,398,410,427,262,40,374,89
36,45574,R. van der Vaart,Tottenham Hotspur,27,85,85,CAM,€0,€0,396,385,366,78,55,439,88
37,45197,Xabi Alonso,Real Madrid,28,85,85,CM,€0,€0,387,357,395,229,45,415,87
38,24630,Pepe Reina,Liverpool,27,85,85,GK,€0,€0,68,294,227,39,428,77,86
39,13732,J. Terry,Chelsea,29,85,85,CB,€0,€0,315,339,347,262,48,250,90
40,7289,R. Ferdinand,Manchester United,31,85,85,CB,€0,€0,296,356,324,269,40,276,89
41,1179,G. Buffon,Juventus,32,85,85,GK,€0,€0,94,313,252,38,417,115,90
42,189362,Hulk,FC Porto,23,84,84,CF,€0,€0,393,420,405,106,46,418,87
43,180930,E. Džeko,Manchester City,24,84,84,ST,€0,€0,407,408,406,55,63,348,89
44,179813,E. Cavani,Napoli,23,84,84,ST,€0,€0,402,419,424,147,53,346,89
45,177003,L. Modrić,Tottenham Hotspur,24,84,85,RM,€0,€0,382,412,366,152,52,425,87
46,176635,M. Özil,Real Madrid,21,84,85,LM,€0,€0,376,420,337,57,50,422,88
47,173731,G. Bale,Tottenham Hotspur,20,84,84,LM,€0,€0,394,411,389,230,52,420,85
48,167948,H. Lloris,Olympique Lyonnais,23,84,84,GK,€0,€0,71,265,185,46,423,97,90
49,164240,Thiago Silva,Milan,25,84,84,CB,€0,€0,328,398,408,260,45,343,89
50,163297,M. Krasić,Juventus,25,84,85,RW,€0,€0,386,427,397,134,50,388,89
51,155862,Sergio Ramos,Real Madrid,24,84,86,CB,€0,€0,357,411,382,261,46,366,90
52,150418,M. Gomez,FC Bayern München,24,84,84,ST,€0,€0,403,395,400,62,46,312,86
53,146536,Jesús Navas,Sevilla FC,24,84,84,RW,€0,€0,371,429,360,73,55,369,90
54,146530,Dani Alves,FC Barcelona,27,84,85,RM,€0,€0,370,423,402,249,38,414,88
55,142708,D. Milito,Inter,31,84,84,ST,€0,€0,408,410,395,87,52,364,87
56,139068,Nani,Manchester United,23,84,84,RM,€0,€0,362,413,369,82,40,403,89
57,138123,E. Cambiasso,Inter,29,84,84,CDM,€0,€0,396,392,401,253,46,374,87
58,121933,R. Adler,Bayer 04 Leverkusen,25,84,84,GK,€0,€0,68,313,222,36,410,69,88
